"vt. (anniversario) to celebrate; (persona) to hold a celebration for","festeggiare; avere festeggiato"
"vr. to trust","fidarsi; essersi fidato"
"to trust sb/sth","fidarsi di qu/qc"
"vt. <fingo> form. (gioia, dolore) to feign; vi. <fingo> to pretend","fingere; avere finto"
"to pretend to do sth","fingere di fare qc"
"vt. <finisco> (portare a compimento: libro, lavoro) to finish; vi. <finisco> (concludersi) to finish; (terminare) to end; (capitare) to end up","finire; essere finito"
"to end well","finire bene"
"to finish doing sth","finire di fare qc"
"to end badly","finire male"
"to end up in prison","finire in carcere"
"to end up in the papers","finire sui giornali"
"vt. to sign","firmare; avere firmato"
"vt. (obiettivo, concentrare: attenzione) to focus; (inquadrare: situazione) to get into perspective","focalizzare; avere focalizzato"
"vt. (corteo, cerchio, famiglia, partito) to form; (addestrare: ufficiali, tecnici, atleti) to train; (carattere) to mold","formare; avere formato"
"vr. (prodursi) to form; (svilupparsi) to develop","formarsi; essersi formato"
"vt. <fornisco> (provvedere) to supply; (informazioni, prova) to provide","fornire; avere fornito"
"to provide sb with sth","fornire qu di qc"
"to provide sth to sb","fornire qc a qu"
"vr. <fornisco> to provide o.s.","fornirsi; essersi fornito"
"to provide o.s. with sth","fornirsi di qc"
"vt. <friggo> to fry; vi. <friggo> (crepitare) to sizzle; (fremere) to tremble","friggere; avere fritto"
"vi. (scappare) to escape; (passare) fly; vt. to avoid","fuggire; essere fuggito"
"to get away","fuggire via"
"vi. (meccanismo, sistema, relazione) to work","funzionare; avere funzionato"
